"screen","role","action","outcome","durable_data","evidence","untested_controls"
"POST /api/customer-checkout","customer","Payments: Razorpay sandbox keys absent locally — every Pay control (grooming ₹1,747, training ₹500, boarding, taxi) returns 503 'Razorpay test checkout is not configured' inline; bookings stay payment_pending","env-gated","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/04-v2g-after-pay.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/04-t-after-pay.png",""
"/v2/activity → /v2/booking?bookingId=PS-UAT-MUBC02TE-51E4 (also training PS-UAT-MUBCBDM2-416A)","customer","V2 'View booking & payment' page (/v2/booking?bookingId=) renders only the checkout error when the payment gateway is unavailable — booking details, status and Manage link are hidden","defect P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/07-v2-activity-reopened.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/18-v2-booking-pending.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/06-t-v2-booking.png",""
"/mobile-app Activity → /grooming/manage?bookingId=…; /v2/activity → /v2/booking?bookingId=…","customer","Still no resume-payment path from Activity/manage for a payment_pending grooming booking (mobile); the V2 path exists but lands on the error-only page","still-open P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/08-manage-pending.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/09-activity.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/16-mobile-booking-confirmation-pending.png",""
"/mobile-app Book → Review","customer (Pixel 7)","Coupon is still dropped when the customer switches payment mode; Confirm stays enabled and the booking is created at full price","still-open P2","PS-UAT-MUBC8VUJ-597C","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/04-coupon-applied.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/05-after-pay-online.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/06-after-pay-after.png",""
"/mobile-app Book → /grooming/manage","customer (Pixel 7)","Mobile grooming pay-after booking, reschedule and cancel driven end to end","pass","PS-UAT-MUBC8VUJ-597C","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/08-confirmed.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/11-rescheduled.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/12-cancelled.png",""
"/grooming/manage?bookingId=PS-UAT-MUBC02TE-51E4","customer","Payment-pending grooming booking can be cancelled? — No: manage page says 'Cancellation unavailable' for an unpaid booking (recorded as a governed state, not a defect)","owner-decision","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/08-manage-pending.png",""
"/mobile-app Account → Send OTP; /v2 Sign in","returning customer","OTP name field 'Your name (first time only)' still shown to returning customers (mobile and V2)","still-open P2","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/result.json (mobile-otp-returning-name-prompt-D12)","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/10-mobile-otp-returning.png",""
"/mobile-app My Pets, /v2/account","customer 9800000111 (E2E-CUS-UI-001)","Seeded pet Bruno still renders 'Vaccination not provided' although the record says vaccinated","still-open P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/19-bruno-mobile-pets.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/20-bruno-v2-account.png",""
"/v2/grooming, /v2/training, /v2/taxi, /v2/walking, /mobile-app review, /v2/relocation","customer","Internal/staging wording still visible to customers across V2 and mobile","still-open P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/00-explore/06-_v2_taxi.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/04-reloc-domestic-created.png",""
"/mobile-app/booking-confirmation?bookingId=…, /v2/booking-confirmation?bookingId=…, /mobile-app","customer","Payment-return page prints the checkout error twice and shows 'Sign in to your account' while signed in (prior D15 items persist); customer app still polls the staff-only /api/mobile-employee-ai (403 console errors)","still-open P3","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/16-mobile-booking-confirmation-pending.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/17-v2-booking-confirmation-pending.png",""
"/mobile-app Book → Choose a requested slot","customer with a saved default address","Mobile Book grooming address step does not offer the customer's saved default address (must be typed again)","defect P3","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02b-mobile-grooming/01-address-step.png",""
"/v2/training","customer (Pixel 7)","V2 Training paid assessment (Trainer Meet & Greet ₹500) reserves exactly one programme with one session; Pay refuses honestly","pass","PS-UAT-MUBCBDM2-416A; TP-F183E4A8-CFB","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/02-t-availability.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/03-t-payment.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/04-t-after-pay.png",""
"POST /api/training-cancellation, /api/training-customer-session-change, /api/training-sessions, /api/training-ops","customer","Training customer refusal states: cancellation request is blocked by policy configuration (governed), reschedule request accepted, closeout/ops actions denied","env-gated","","",""
"/v2/training?bookingId=PS-UAT-MUBCBDM2-416A, /v2/activity","customer","V2 training recovery page (/v2/training?bookingId=) shows no pending-payment recovery — only 'Refresh trainer availability'; training booking still has no manage link","defect P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/08-t-v2-training-recovery.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/05-t-activity.png",""
"/v2/training payment step","customer (Pixel 7)","Floating appearance/theme buttons overlap the primary Pay button on the V2 training payment view (Pixel 7)","defect P3","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/04-t-after-pay.png",""
"/v2/walking","customer (Pixel 7)","V2 Dog Walking: one-time walk and recurring starter schedule created (double-click → one booking each), listed in Activity and on the mobile Home 'UPCOMING BOOKING'","pass","PS-UAT-WALK-MUBCDRTG-1C51; PS-UAT-WALK-MUBCRDBP-DC07","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/04-walking/03-w-created-Recurring-starter-schedule.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/04b-walking/02-w1-created.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/04-walking/04-w-activity.png",""
"/v2/activity, /v2/walking (confirmation + manage), /boarding/manage","customer whose browser is not in IST (sandbox browser tz UTC)","V2 pages and /boarding/manage render booking times in the device time zone without a zone label — the same 7:00 AM IST walk shows as '1:30 am' in V2 Activity and the walking manage page (mobile pages pin IST)","defect P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/04b-walking/03-w-manage.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/04-walking/04-w-activity.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03-training/05-t-activity.png",""
"POST /api/walking-lifecycle","customer","Walking lifecycle actions are refused for customers (403 governed) and the manage page offers no reschedule (record)","pass","","",""
"/v2/boarding review step","customer (Pixel 7)","Boarding quote-error retry: a forced 503 from /api/boarding-commercial at the review step shows the error with a 'Retry price' control, prices read 'Price unavailable', and Retry restores the live quote; check-out before check-in is refused","pass","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06b-boarding/02-quote-forced-error.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06b-boarding/03-quote-after-retry.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/01-boarding-bad-dates.png",""
"/v2/boarding","customer (Pixel 7)","Boarding 5-night dog+cat stay: host match with trust badges, 50% reserve creates exactly one payment_pending booking + stay record; split amounts correct on both option cards (D08 fixed)","fixed-verified","PS-UAT-MUBCU8O5-69FF; BSTAY-A929DCD9-2","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/05-boarding-hosts.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/08-boarding-review-50.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/09-boarding-review-full.png",""
"/boarding/manage?bookingId=PS-UAT-MUBCU8O5-69FF, /v2/boarding/manage?bookingId=…, mobile Activity → View booking and care","customer","Unpaid boarding stay copy: manage pages say 'Stay window' and 'Payment status is tracked separately…' — no 'Payment is captured' claim (P1-07 / D02 fixed)","fixed-verified","PS-UAT-MUBCU8O5-69FF","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06b-boarding/06-manage-legacy.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06b-boarding/07-manage-v2.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06b-boarding/09-mobile-activity.png",""
"/boarding/manage?bookingId=PS-UAT-MUBCU8O5-69FF","customer","Unpaid boarding stay: manage page has no Pay control and Request extension / date change / cancellation are all disabled while awaiting host acceptance","owner-decision","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06b-boarding/06-manage-legacy.png",""
"/v2/sitting care-details step","customer (Pixel 7)","Sitting '2-hour home Meet & Greet · ₹500' card is still a dead control and the review contradicts it (Meet & Greet ₹0, total ₹399)","still-open P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/13-sitting-details-mg-clicked.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/14-sitting-review.png",""
"/v2/boarding hosts step (View full profile / Chat securely)","customer","Host/sitter profile, reviews and chat from the customer side are honest environment gates: profile card with badges renders; reviews/media 'not connected'; chat overlay says live masked chat is not connected and sends nothing","env-gated","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/06-boarding-chat.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/05-boarding-hosts.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06-stay/12-sitting-sitters.png",""
"/v2/boarding, /v2/sitting, POST /api/customer-account upsert_address","customer","Repeat stay plans do not grow the saved service address or add rows; identical account address upserts dedupe to the same id (a locality-suffixed variant is stored as a new row)","pass","","",""
"/mobile-app → Training → Book a Meet & Greet (Package step)","customer (Pixel 7)","Mobile Training: the pre-selected default Meet & Greet slot still cannot be reserved (scheduler 400) while the next 'Available' chip reserves fine","still-open P2","PS-UAT-MUBCZM7M-F10C","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03c-mobile-training/01-mt-package-step.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03c-mobile-training/02-mt-after-book-default-slot.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03c-mobile-training/03-mt-after-book-other-slot.png",""
"/mobile-app Training","customer (Pixel 7)","Mobile Training flow: Assessment → Package (recommended plan) → Trainer roster → Calendar → Review with 50%/100% options renders end to end; V2 assessment recovery shows Pay on the mobile payment-return route","pass","PS-UAT-MUBCBDM2-416A","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03b-mobile-training/02-mt2-package.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03b-mobile-training/04-mt3-trainers-loaded.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/03b-mobile-training/05-mt4-calendar.png",""
"/v2/taxi, /v2/taxi/manage?bookingId=PS-UAT-TAXI-MUBCMB6Y-2F2F","customer","V2 Pet Taxi canonical trip created and manageable; cancellation is request-only","pass","PS-UAT-TAXI-MUBCMB6Y-2F2F","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05-taxi/03-x-v2-created.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05b-taxi/03-x-v2-manage.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05b-taxi/result.json",""
"/v2/taxi after Create canonical UAT trip","customer","V2 Pet Taxi confirmation prints 'Invalid Date' and placeholder route copy ('synthetic km · min estimate')","defect P2","PS-UAT-TAXI-MUBCMB6Y-2F2F","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05-taxi/03-x-v2-created.png",""
"/v2 Sign in → dialog 'Sign in to PawSpace'","customer (Pixel 7)","V2 OTP sign-in (modal): new customer with name capture, wrong code refused, sign-out clears the session, returning customer keeps identity and name","pass","TP-EE8E560CC58317B19DC634B7","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/02-new-otp-code.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/03-new-wrong-code.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/14-signed-out.png",""
"/v2 sign-in dialog","returning customer","V2 sign-in modal also shows 'Your name · first visit only' to returning customers, and labels the on-screen code 'UAT CODE'","still-open P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/17-returning-otp-code.png",""
"/v2/account","customer","Profile email validation (UI + API) and alternate-mobile validation; profile persists after reload","fixed-verified","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/06-email-invalid.png",""
"/v2/account Add default address","customer","Repeat 'Save address' with identical values keeps one row and the same id; label and line1 do not grow","pass","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/08-address-repeat.png",""
"/v2/account","customer","Account 'Add default address' still accepts an unserviceable PIN (110001) and makes it the default","still-open P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/09-address-delhi.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/result.json",""
"/v2/food (also the raw 401 body of /api/v2/grooming-catalogue)","signed-out customer","Signed-out customer on /v2/food sees 'Your staging sign-in has expired. Open /staging-login to sign in again.' (twice) — staff-login copy on a customer surface","defect P2","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/result.json (sign-out-signed-out-copy-returning-otp-D12)","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/15-signed-out-food.png",""
"/v2/account → ＋ Add pet","customer","V2 account pet form validates required fields inline ('Select the pet's temperament') and does not submit an incomplete pet","pass","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/07b-account/11-pet-saved.png",""
"/mobile-app Pet Taxi stage 3; /v2/taxi?sourceBookingId=PS-UAT-MUBCU8O5-69FF → POST /api/taxi-commercial","customer (Pixel 7)","Mobile/V2 Pet Taxi quote is gated on GOOGLE_MAPS_SERVER_API_KEY_UAT — 'Calculate Citroën & XUV fares' returns 503 on this server, so paise formatting, the route-fallback disclosure, the inline Pay refusal and 'Check payment status' could not be exercised locally (Boarding → Taxi continuation reaches the same gate)","env-gated","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05d-taxi/04-mx-quote.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05d-taxi/11-bx-quote.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05d-taxi/result.json",""
"/mobile-app Pet Taxi stage 3, /v2/taxi?sourceBookingId=…","customer","Customer-facing taxi quote error prints the server environment variable name ('Pet Taxi route pricing needs GOOGLE_MAPS_SERVER_API_KEY_UAT')","defect P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05d-taxi/04-mx-quote.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05d-taxi/11-bx-quote.png",""
"/boarding/manage?bookingId=PS-UAT-MUBCU8O5-69FF → /v2/taxi?sourceBookingId=PS-UAT-MUBCU8O5-69FF","customer","Boarding → Taxi continuation stays inside V2 with the source booking: /boarding/manage 'Add Pet Taxi for this stay →' opens /v2/taxi?sourceBookingId=<stay>, header 'BOARDING → PET TAXI', link back to the stay, pets pre-selected","pass","PS-UAT-MUBCU8O5-69FF","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05d-taxi/07-bx-landing.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/05d-taxi/08-bx-stage1.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/06b-boarding/06-manage-legacy.png",""
